Version Number,1,,,,,,,,,
Block Format,1,,,,,,,,,
Number of Teams,24,,,,,,,,,
2,1:45:00 PM,1:55:00 PM,487,1585,,,,,,
3,2:00:00 PM,2:10:00 PM,747,1603,,,,,,
4,2:15:00 PM,2:25:00 PM,1617,1,,,,,,
5,2:30:00 PM,2:40:00 PM,3821,3550,,,,,,
6,2:45:00 PM,2:55:00 PM,2809,826,,,,,,
7,3:00:00 PM,3:10:00 PM,3007,1587,,,,,,
8,3:15:00 PM,3:25:00 PM,1601,1596,,,,,,
9,3:30:00 PM,3:40:00 PM,1608,1439,,,,,,
10,3:45:00 PM,3:55:00 PM,4419,1778,,,,,,
11,4:00:00 PM,4:10:00 PM,1588,2168,,,,,,
12,4:15:00 PM,4:25:00 PM,1492,3,,,,,,
Number of Event Time Slots,12,,,,,,,,,
Number of Judging Teams,2,,,,,,,,,
Event Name,Project Judging,,,,,,,,,
Room Names,#NAME?,#NAME?,,,,,,,,
1,1:30:00 PM,1:40:00 PM,2168,826,,,,,,
2,1:45:00 PM,1:55:00 PM,1,3,,,,,,
3,2:00:00 PM,2:10:00 PM,4419,1778,,,,,,
4,2:15:00 PM,2:25:00 PM,1439,1492,,,,,,
5,2:30:00 PM,2:40:00 PM,747,1606,,,,,,
6,2:45:00 PM,2:55:00 PM,2338,487,,,,,,
7,3:00:00 PM,3:10:00 PM,1617,1585,,,,,,
8,3:15:00 PM,3:25:00 PM,2809,3821,,,,,,
9,3:30:00 PM,3:40:00 PM,1603,1588,,,,,,
10,3:45:00 PM,3:55:00 PM,1596,3550,,,,,,
11,4:00:00 PM,4:10:00 PM,3007,1587,,,,,,
12,4:15:00 PM,4:25:00 PM,1608,1601,,,,,,
Number of Event Time Slots,12,,,,,,,,,
Number of Judging Teams,2,,,,,,,,,
Event Name,Core Values Judging,,,,,,,,,
Room Names,#NAME?,#NAME?,,,,,,,,
1,1:30:00 PM,1:40:00 PM,1601,1603,,,,,,
2,1:45:00 PM,1:55:00 PM,1492,1588,,,,,,
3,2:00:00 PM,2:10:00 PM,826,1608,,,,,,
4,2:15:00 PM,2:25:00 PM,3007,1587,,,,,,
5,2:30:00 PM,2:40:00 PM,1778,2168,,,,,,
6,2:45:00 PM,2:55:00 PM,1596,1439,,,,,,
7,3:00:00 PM,3:10:00 PM,3550,1,,,,,,
8,3:15:00 PM,3:25:00 PM,3,4419,,,,,,
9,3:30:00 PM,3:40:00 PM,1606,2338,,,,,,
10,3:45:00 PM,3:55:00 PM,2809,747,,,,,,
11,4:00:00 PM,4:10:00 PM,1617,1585,,,,,,
12,4:15:00 PM,4:25:00 PM,3821,487,,,,,,
Block Format,4,,,,,,,,,
Number of Practice Matches,12,,,,,,,,,
Number of Tables,4,,,,,,,,,
Number of Teams Per Table,2,,,,,,,,,
Number of Simultaneous Tables,1,,,,,,,,,
Table Names,Table 1 Side 1,Table 1 Side 2,Table 2 Side 1,Table 2 Side 2,Table 3 Side 1,Table 3 Side 2,Table 4 Side 1,Table 4 Side 2,,
1,9:00:00 AM,9:03:00 AM,1608,1588,,,,,,
2,9:05:00 AM,9:08:00 AM,,,1617,2338,,,,
3,9:10:00 AM,9:13:00 AM,,,,,1585,487,,
4,9:15:00 AM,9:18:00 AM,,,,,,,747,1439
5,9:20:00 AM,9:23:00 AM,1,1596,,,,,,
6,9:25:00 AM,9:28:00 AM,,,3007,3,,,,
7,9:30:00 AM,9:33:00 AM,,,,,826,4419,,
8,9:35:00 AM,9:38:00 AM,,,,,,,1601,2809
9,9:40:00 AM,9:43:00 AM,2168,1492,,,,,,
10,9:45:00 AM,9:48:00 AM,,,1606,3550,,,,
11,9:50:00 AM,9:53:00 AM,,,,,1603,1778,,
12,9:55:00 AM,9:58:00 AM,,,,,,,3821,1587
